id,category,title,expected_kind,capabilities,inspiration
I01,input,Direct POST to option,input.unsanitized_storage,superglobal-source;wp_unslash-propagation;storage-sink;sanitizer,
I02,input,Nested settings array,input.unsanitized_storage,array-taint;nested-array;map_deep;storage-sink,
I03,input,Numeric GET parameter,input.unsanitized_storage,get-source;numeric-validation;post-meta-sink,
I04,input,Uploaded filename,input.unsanitized_storage,files-source;array-offset;filename-sanitizer;post-meta-sink,
I05,input,REST request parameter,input.unsanitized_storage,rest-source;method-return-taint;user-meta-sink,
I06,input,Shortcode attribute persisted,input.unsanitized_storage,shortcode-source;shortcode_atts-propagation;html-class-sanitizer;post-meta-sink,
I07,input,Cookie to option,input.unsanitized_storage,cookie-source;sanitize_key;storage-sink,
I08,input,Remote HTTP body to option,input.unsanitized_storage,remote-http-source;wp_remote_retrieve_body;kses-sanitizer;storage-sink,
O01,output,Option in HTML text,output.unescaped,database-source;html-text-sink;late-escape,
O02,output,Post meta in attribute,output.unescaped,post-meta-source;attribute-sink;contextual-escape,
O03,output,User meta in URL attribute,output.unescaped,user-meta-source;url-sink;esc_url,
O04,output,add_query_arg URL output,output.unescaped,server-source;url-builder-propagation;url-sink;cve-pattern,CVE-2024-8730 and similar add_query_arg reflected-XSS reports
O05,output,Allowed rich HTML,output.unescaped,database-source;html-fragment-sink;wp_kses_post,
O06,output,Inline JavaScript string,output.unescaped,database-source;javascript-sink;esc_js,
O07,output,Textarea context,output.unescaped,database-source;textarea-sink;esc_textarea,
O08,output,XML context,output.unescaped,database-source;xml-sink;esc_xml,
O09,output,Wrong-context escape,output.wrong_context_escape,wrong-context-escape;url-sink;context-tracking,
O10,output,Escape invalidated by filter,output.escape_invalidated,escape-state;hook-invalidation;late-escape;apply_filters,
F01,flow,Reflected request to HTML text,flow.unsanitized_unescaped,end-to-end;get-source;html-text-sink;sanitizer;escaper,
F02,flow,Stored settings XSS,flow.unsanitized_unescaped,stored-flow;post-source;database-boundary;html-sink;multi-function,
F03,flow,Shortcode attribute to class,flow.unsanitized_unescaped,shortcode-source;shortcode_atts-propagation;attribute-sink;cve-pattern,CVE-2025-12661 / CVE-2025-14109 style shortcode-attribute stored XSS
F04,flow,Request URI through add_query_arg,flow.unsanitized_unescaped,server-source;function-propagation;url-sink;cve-pattern,CVE-2024-8730 and multiple similar WordPress plugin CVEs
F05,flow,AJAX setting with nonce,flow.unsanitized_unescaped,ajax-source;nonce-non-sanitizer;stored-flow;html-sink,
F06,flow,REST to post meta to block render,flow.unsanitized_unescaped,rest-source;stored-flow;callback-flow;block-render;post-meta,
F07,flow,Custom class propagation,flow.unsanitized_unescaped,interprocedural;method-call;string-propagator;html-sink,
F08,flow,Array merge and nested access,flow.unsanitized_unescaped,array-merge;array-taint;stored-flow;regression-shape,Psalm issue #10919 demonstrates why reconstructed/nested arrays deserve explicit taint regressions
F09,flow,Conditional merge,flow.unsanitized_unescaped,control-flow;phi-merge;conditional-taint,
F10,flow,sprintf and concatenation,flow.unsanitized_unescaped,sprintf-propagation;concatenation;html-sink,
F11,flow,Plugin filter to theme sink,flow.unsanitized_unescaped,cross-file;cross-plugin-theme;filter-propagation;late-escape,
F12,flow,"Sanitized storage, unsafe theme output",output.unescaped,cross-plugin-theme;sanitization-not-escaping;database-boundary,
F13,flow,"Raw storage, safely escaped theme",input.unsanitized_storage,cross-plugin-theme;input-output-independence;storage-sink;negative-xss,
F14,flow,Escaped plugin value invalidated by another plugin,output.escape_invalidated,cross-plugin-theme;multi-plugin;escape-invalidation;filter-return;late-escape,
F15,flow,Filter replaces escaped value,output.escape_invalidated,cross-plugin-theme;filter-replacement;escape-invalidation;database-source,
F16,flow,Global state across action boundary,flow.unsanitized_unescaped,cross-file;global-taint;action-callback;callback-sink,
F17,flow,Remote response through filter to rich HTML,flow.unsanitized_unescaped,remote-http-source;filter-propagation;rich-html-sink;late-kses,
F18,flow,Inline script JSON boundary,flow.unsanitized_unescaped,javascript-sink;wp_add_inline_script;json-encoding;request-source,
